,id,confirmed,policyagreed,deleted,suspended,idnumber,country,lang,firstaccess,lastaccess,lastlogin,currentlogin,lastip,gender,CountryCode
0,1,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
1,20,1,0,0,0,,Germany,en,1549745767,1562935333,1549745767,1562935333,197.215.32.111,Male,DE
2,15,1,0,0,0,,Germany,en,1549633236,1563537002,1563469481,1563537002,41.184.239.200,Male,DE
3,36,1,0,0,0,,Ghana,en,1549641288,1559227964,1549651186,1559227892,154.160.1.224,Male,GH
4,44,1,0,0,0,,Ghana,en,1549637001,1560095090,1557475553,1560094908,129.122.1.14,Male,GH
5,8,1,0,0,0,,Germany,en,1548920653,1550751302,1548920653,1550751302,93.167.79.75,Male,DE
6,33,1,0,1,0,,Germany,en,0,0,0,0,,Male,DE
7,13,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
8,98,1,0,0,0,,Ghana,en,1550594652,1563538711,1563474596,1563538711,41.210.9.165,Male,GH
9,4,1,0,1,0,,Germany,en,0,0,0,0,,Male,DE
10,6,1,0,1,0,,Germany,en,0,0,0,0,,Male,DE
11,11,1,0,1,0,,Germany,en,0,0,0,0,,Male,DE
12,10,1,0,1,0,,Germany,en,0,0,0,0,,Male,DE
13,28,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
14,12,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
15,14,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
16,17,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
17,18,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
18,21,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
19,23,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
20,22,1,0,0,0,,Namibia,en,1563360105,1563361519,0,1563360105,197.188.220.5,Female,NA
21,26,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
22,27,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
23,29,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
24,19,1,0,0,0,,Germany,en,1549641085,1550821204,1549641085,1550820998,172.104.97.212,Male,DE
25,38,1,0,0,0,,Kenya,en,1549650203,1559586391,1559573739,1559586391,41.80.26.125,Male,KE
26,284,1,0,0,0,,Ghana,en,1550528992,1563463891,1562603082,1563463767,41.210.28.77,Female,GH
27,31,1,0,0,0,,Germany,en,0,0,0,0,,Male,DE
28,34,1,0,1,0,,Germany,en,0,0,0,0,,Male,DE
29,512,1,0,0,0,,Ethiopia,en,1557381963,1563362546,1562590587,1563362546,197.156.98.184,Male,ET
30,35,1,0,1,0,,Germany,en,0,0,0,0,,Male,DE
31,286,1,0,0,0,,Ghana,en,1550750243,1562276298,1556228060,1562276298,154.160.27.104,Female,GH
32,318,1,0,0,0,,Zimbabwe,en,1552585155,1553518189,1552585155,1553518189,154.120.229.38,Female,ZW
33,186,1,0,0,0,,Ethiopia,en,1550339089,1552593872,1550785536,1552593872,196.188.243.161,Female,ET
34,304,1,0,0,0,,Ghana,en,0,0,0,0,,Male,GH
35,1020,1,0,0,0,,Liberia,en,0,0,0,0,,Male,LR
36,769,1,0,0,0,,Zambia,en,0,0,0,0,,Male,ZM
37,47,1,0,0,0,,Ethiopia,en,1549633241,1553360616,1549651090,1553360616,197.156.95.208,Male,ET
38,41,1,0,0,0,,Ethiopia,en,1549950234,1549950550,0,1549950234,197.156.95.77,Male,ET
39,995,1,0,0,0,,Nigeria,en,0,0,0,0,,Male,NG
40,54,1,0,0,0,,Kenya,en,1549642623,1553364319,1550822253,1553364319,154.79.197.112,Male,KE
41,49,1,0,0,0,,Ethiopia,en,0,0,0,0,,Male,ET
42,53,1,0,0,0,,Ethiopia,en,0,0,0,0,,Female,ET
43,16,1,0,0,0,,Germany,en,1549587868,1550851604,1550778123,1550850192,197.233.121.97,Male,DE
44,135,1,0,0,0,,Nigeria,en,1550343373,1554403718,1554282407,1554401972,41.190.31.161,Female,NG
45,46,1,0,0,0,,Ethiopia,en,1549692880,1549806722,1549692880,1549806722,197.156.86.249,Male,ET
46,69,1,0,0,0,,Ghana,en,1549641094,1549733985,1549719814,1549733884,154.160.6.121,Male,GH
47,72,1,0,0,0,,Kenya,en,1549744028,1549744321,0,1549744028,105.161.174.29,Male,KE
48,692,1,0,0,0,,Ghana,en,1556114267,1558093908,1556123094,1558093908,41.215.173.35,Female,GH
49,59,1,0,0,0,,Ethiopia,en,1549642234,1551257213,1549642234,1551257074,197.156.107.104,Female,ET
50,75,1,0,0,0,,Nigeria,en,1549749194,1550416714,1549803104,1550413529,197.211.57.23,Male,NG
51,328,1,0,0,0,,Ghana,en,1552551778,1561360515,1560883827,1561360515,154.160.27.233,Male,GH
52,37,1,0,0,0,,Nigeria,en,0,0,0,0,,Male,NG
53,148,1,0,0,0,,Kenya,en,1550332251,1551252788,1551084674,1551252788,197.248.143.218,Male,KE
54,55,1,0,0,0,,Nigeria,en,1549748958,1550148801,1549748958,1550148690,105.112.11.56,Female,NG
55,1021,1,0,0,0,,Kenya,en,0,0,0,0,,Female,KE
56,70,1,0,0,0,,Kenya,en,1549668036,1558965567,1550774592,1558965567,41.79.97.5,Female,KE
57,58,1,0,0,0,,Rwanda,en,1549703811,1562523988,1559678918,1562523988,41.186.83.154,Male,RW
58,63,1,0,0,0,,Kenya,en,0,0,0,0,,Male,KE
59,309,1,0,0,0,,Benin,en,1553119777,1562574707,1553851366,1562574616,197.234.221.30,Male,BJ
60,66,1,0,0,0,,Ghana,en,0,0,0,0,,Male,GH
61,74,1,0,0,0,,Ethiopia,en,1549634654,1550823874,1550299557,1550817118,197.156.94.9,Female,ET
62,143,1,0,0,0,,Nigeria,en,1550331754,1556123834,1553469636,1556123620,197.210.52.73,Male,NG
